HPO编码,标准名称（英文）,定义（英文）,标准名称（中文）,定义（中文）
HP:0012140,obsolete Abnormality of cells of the lymphoid lineage,,,
HP:0012201,obsolete Reduced prothrombin activity,,,
HP:0012290,obsolete Mouth neoplasm,,,
HP:0012291,obsolete Tracheal neoplasm,,,
HP:0012336,obsolete Reduced cerebrospinal fluid 5-methyltetrahydrofolate concentration,,,
HP:0012369,obsolete Abnormal malar bone morphology,,,
HP:0012374,obsolete Abnormal globe morphology,,,
HP:0012455,obsolete Large artery calcification,,,
HP:0012611,obsolete Increased urinary urate,,,
HP:0012677,obsolete Iron accumulation in globus pallidus,,,
HP:0100492,obsolete Joint contractures involving the joints of the feet,,,
HP:0100609,obsolete Hypermenorrhea,,,
HP:0100637,obsolete Neoplasia of the nose,,,
HP:0100805,obsolete Precocious menopause,,,
HP:0100843,obsolete Glioblastoma,,,
HP:0200095,obsolete Anterior open bite,,,
HP:0200099,obsolete Peripheral retinal pigmentation abnormalities,,,
HP:0200126,obsolete Amyloid cardiomyopathy,,,
HP:0200129,obsolete Calcific mitral stenosis,,,
HP:0200135,obsolete Macrocephaly due to hydrocephalus,,,
HP:0200144,obsolete Anaphylactoid purpura,,,
HP:3000001,obsolete Abnormal heart morphology,,,
HP:3000026,obsolete Abnormality of common carotid artery plus branches,,,
HP:6001030,obsolete Peripheral nerve metachromasia,,,
