code,chinese_name,english_name
A51,早期梅毒,Early syphilis
A51.0,第一期(原發性)生殖器梅毒,Primary genital syphilis
A51.1,第一期(原發性)肛門梅毒,Primary anal syphilis
A51.2,其他部位第一期(原發性)梅毒,Primary syphilis of other sites
A51.3,第二期(續發性)皮膚及黏膜梅毒,Secondary syphilis of skin and mucous membranes
A51.31,扁平濕疣,Condyloma latum
A51.32,梅毒性禿髮,Syphilitic alopecia
A51.39,其他第二期(續發性)皮膚梅毒,Other secondary syphilis of skin
A51.4,其他第二期(續發性)梅毒,Other secondary syphilis
A51.41,續發性梅毒腦膜炎,Secondary syphilitic meningitis
A51.42,第二期(續發性)梅毒性女性骨盆發炎性疾病,Secondary syphilitic female pelvic disease
A51.43,第二期(續發性)梅毒性眼病變,Secondary syphilitic oculopathy
A51.44,第二期(續發性)梅毒腎炎,Secondary syphilitic nephritis
A51.45,第二期(續發性)梅毒肝炎,Secondary syphilitic hepatitis
A51.46,第二期(續發性)梅毒骨病變,Secondary syphilitic osteopathy
A51.49,其他第二期(續發性)梅毒,Other secondary syphilitic conditions
A51.5,潛伏性早期梅毒,"Early syphilis, latent"
A51.9,早期梅毒,"Early syphilis, unspecified"
A52,晚期梅毒,Late syphilis
A52.0,心臟血管及心臟血管梅毒,Cardiovascular and cerebrovascular syphilis
A52.00,心臟血管梅毒,"Cardiovascular syphilis, unspecified"
A52.01,梅毒性主動脈動脈瘤,Syphilitic aneurysm of aorta
A52.02,梅毒性主動脈炎,Syphilitic aortitis
A52.03,梅毒性心內膜炎,Syphilitic endocarditis
A52.04,梅毒性腦動脈炎,Syphilitic cerebral arteritis
A52.05,其他心臟血管梅毒,Other cerebrovascular syphilis
A52.06,其他侵及心臟之梅毒,Other syphilitic heart involvement
A52.09,其他心血管梅毒,Other cardiovascular syphilis
A52.1,症狀性神經梅毒,Symptomatic neurosyphilis
A52.10,症狀性神經梅毒,"Symptomatic neurosyphilis, unspecified"
A52.11,脊髓癆,Tabes dorsalis
A52.12,其他腦脊髓梅毒,Other cerebrospinal syphilis
A52.13,晚期梅毒性腦膜炎,Late syphilitic meningitis
A52.14,晚期梅毒性腦炎,Late syphilitic encephalitis
A52.15,晚期梅毒神經病變,Late syphilitic neuropathy
A52.16,Charcot(氏)關節病變,Charcot's arthropathy (tabetic)
A52.17,全身性輕癱症,General paresis
